Date,T_degC
24/1/2011,9.970
29/1/2012,9.980
21/7/2012,9.980
9/7/2002,9.990
14/8/2008,10.000
3/11/2012,10.000
9/2/2012,10.000
20/7/2001,10.010
14/7/2016,10.010
29/10/2010,10.010
10/4/2001,10.010
15/1/2015,10.020
7/4/2006,10.020
14/1/2016,10.030
7/4/2002,10.040
7/2/2002,10.040
8/1/2001,10.040
23/7/2012,10.050
14/2/2003,10.060
13/11/2007,10.060
11/4/2002,10.070
31/3/2002,10.070
29/10/2006,10.070
2/4/2014,10.080
7/8/2011,10.100
6/2/2002,10.100
19/1/2007,10.110
10/3/2009,10.120
11/4/2001,10.120
14/4/2015,10.130
5/2/2002,10.130
21/10/2006,10.130
4/11/2012,10.150
24/4/2003,10.150
13/4/2003,10.150
28/1/2012,10.160
15/2/2003,10.160
10/11/2019,10.170
8/8/2011,10.170
16/11/2016,10.180
28/1/2007,10.180
30/3/2017,10.180
4/4/2012,10.190
11/4/2017,10.190
22/7/2012,10.190
24/4/2005,10.190
17/4/2005,10.190
3/4/2004,10.200
28/10/2010,10.200
4/2/2002,10.200
21/7/2014,10.210
7/2/2006,10.210
13/8/2010,10.220
10/11/2014,10.220
27/1/2015,10.220
17/7/2019,10.230
23/4/2003,10.240
19/7/2015,10.250
14/4/2001,10.250
12/7/2012,10.250
16/1/2004,10.260
20/7/2015,10.260
21/7/2015,10.270
20/1/2017,10.270
16/1/2015,10.270
7/4/2015,10.270
15/1/2004,10.280
24/10/2003,10.280
1/11/2010,10.280
11/7/2012,10.280
28/10/2006,10.290
5/11/2004,10.290
3/8/2017,10.290
13/11/2019,10.290
31/1/2012,10.300
26/7/2004,10.300
27/10/2006,10.300
6/4/2002,10.320
25/10/2011,10.330
6/4/2015,10.350
25/4/2008,10.360
6/1/2005,10.370
5/2/2003,10.380
16/1/2008,10.390
20/7/2006,10.390
8/2/2012,10.390
19/7/2001,10.390
28/1/2015,10.390
11/11/2010,10.400
8/4/2013,10.430
14/11/2019,10.430
2/4/2004,10.430
8/11/2014,10.440
15/4/2001,10.440
3/7/2007,10.450
15/7/2009,10.450
13/2/2003,10.460
22/4/2000,10.460
14/1/2004,10.460
22/7/2006,10.470
30/3/2002,10.480
29/1/2015,10.490
1/11/2015,10.490
3/4/2003,10.490
2/4/2008,10.500
16/11/2009,10.510
24/10/2011,10.520
1/2/2012,10.520
20/1/2010,10.520
23/10/2003,10.530
9/1/2017,10.530
16/2/2006,10.530
16/11/2013,10.530
17/7/2009,10.530
31/1/2015,10.540
20/7/2019,10.540
4/4/2003,10.540
3/7/2012,10.550
15/6/2018,10.550
26/1/2011,10.560
6/4/2002,10.590
6/11/2015,10.590
16/7/2014,10.600
5/1/2005,10.600
25/1/2013,10.600
17/7/2004,10.600
12/1/2013,10.610
2/2/2012,10.610
9/11/2009,10.620
21/7/2013,10.630
9/11/2014,10.630
15/7/2016,10.640
25/1/2010,10.640
5/4/2003,10.650
8/1/2009,10.650
10/1/2016,10.650
11/4/2014,10.660
3/2/2002,10.660
18/11/2002,10.660
2/11/2010,10.660
6/4/2007,10.670
16/1/2016,10.670
21/7/2009,10.670
19/7/2014,10.680
23/4/2005,10.690
23/11/2017,10.710
13/1/2004,10.710
23/7/2016,10.720
14/7/2002,10.730
15/11/2019,10.730
22/4/2003,10.740
19/1/2015,10.740
14/1/2001,10.750
13/7/2015,10.750
28/3/2008,10.750
24/7/2003,10.750
1/2/2014,10.760
17/11/2016,10.760
15/1/2009,10.760
12/11/2014,10.770
9/4/2007,10.770
5/4/2008,10.780
5/5/2010,10.780
12/8/2010,10.780
19/7/2019,10.780
21/11/2009,10.790
20/11/2014,10.790
12/1/2004,10.790
25/11/2013,10.790
9/11/2016,10.800
20/10/2008,10.800
24/7/2012,10.800
20/4/2001,10.810
13/11/2004,10.820
9/8/2011,10.820
20/1/2004,10.820
19/4/2018,10.820
28/10/2001,10.820
22/10/2003,10.830
11/7/2006,10.840
30/1/2015,10.850
17/4/2005,10.850
25/1/2002,10.860
7/2/2018,10.860
18/1/2007,10.860
14/10/2008,10.880
23/7/2003,10.880
1/4/2004,10.890
4/11/2004,10.900
29/3/2014,10.900
13/11/2014,10.900
27/1/2008,10.920
19/1/2004,10.920
11/1/2004,10.930
20/1/2015,10.930
21/11/2014,10.930
26/4/2005,10.960
12/7/2001,10.970
21/1/2015,10.980
2/8/2017,10.980
14/11/2007,10.980
10/4/2002,10.990
2/2/2014,10.990
20/8/2008,10.990
24/1/2002,11.000
7/1/2000,11.000
16/4/2015,11.020
21/1/2007,11.030
26/10/2012,11.060
18/2/2006,11.080
5/1/2005,11.080
14/11/2004,11.100
29/3/2002,11.110
12/4/2003,11.140
10/1/2004,11.150
28/10/2008,11.150
16/11/2004,11.160
29/3/2017,11.180
24/4/2008,11.180
8/1/2000,11.210
17/6/2018,11.230
15/8/2008,11.240
5/7/2000,11.250
27/7/2004,11.250
31/3/2004,11.260
8/7/2002,11.270
16/7/2009,11.280
9/1/2004,11.300
14/7/2015,11.310
22/11/2014,11.340
22/1/2000,11.340
12/4/2014,11.350
15/11/2004,11.370
6/4/2016,11.390
22/7/2019,11.400
10/4/2019,11.410
11/1/2008,11.420
21/1/2009,11.430
18/11/2016,11.440
15/7/2015,11.440
14/11/2014,11.450
7/2/2006,11.480
22/6/2018,11.480
2/11/2015,11.500
18/4/2011,11.500
11/4/2000,11.500
17/7/2014,11.500
12/11/2005,11.510
21/10/2003,11.510
17/4/2000,11.520
24/7/2015,11.530
10/7/2000,11.540
10/8/2011,11.550
11/11/2005,11.550
